0.31	1214     
0.36	1376     
0.4	1526     
0.44	1694     
0.48	1827     
0.52	1932     
0.56	2004     
0.59	2113     
0.64	2192     
0.31	0.315     
0.36	0.378    
0.4	0.43     
0.44	0.463    
0.48	0.547    
0.52	0.607    
0.56	0.693    
0.59	0.705    
0.64	0.746    
0.31	0.384   
0.36	0.409    
0.4	0.461    
0.44	0.426    
0.48	0.458   
0.52	0.483    
0.56	0.472    
0.59	0.452    
0.64	0.379    
